GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "15540","Burlington-South Burlington, VT (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",103.061,104.671,101.996,101.918,102.699,103.317,99.469,102.872,102.138,103.686,102.131,104.532,105.055,102.552,106.253,100.753,100.949
 "15940","Canton-Massillon, OH (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",93.385,92.112,92.614,91.226,92.209,92.012,91.946,91.087,90.351,90.265,90.887,91.073,88.873,89.732,88.734,88.604,89.406
 "15980","Cape Coral-Fort Myers, FL (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",99.936,97.032,97.392,97.696,97.867,97.921,98.571,99.130,101.037,99.438,99.240,97.818,98.104,99.929,101.817,103.100,102.349
 "16020","Cape Girardeau, MO-IL (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",81.277,83.045,87.836,86.954,88.529,89.429,88.118,86.294,86.124,85.166,87.782,90.039,88.851,88.517,86.156,86.056,86.078
 "16180","Carson City, NV (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",99.812,95.432,97.453,97.415,95.138,96.398,97.426,99.145,96.068,97.735,94.803,98.546,94.876,94.019,94.454,94.888,98.130
 "16220","Casper, WY (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",92.332,97.103,95.473,97.904,99.231,99.348,98.135,95.219,97.610,98.201,95.340,93.291,93.331,91.335,92.065,92.538,93.829
 "16300","Cedar Rapids, IA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",92.896,93.390,93.487,92.690,93.748,89.673,92.499,92.353,91.144,91.670,92.348,92.072,91.226,91.986,89.963,89.986,88.963
 "16540","Chambersburg, PA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",98.034,97.733,96.374,96.237,95.448,97.307,94.974,96.230,96.140,98.022,96.176,94.558,94.273,94.969,93.906,94.371,94.642
 "16580","Champaign-Urbana, IL (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",96.177,95.857,95.080,94.221,94.154,94.451,94.364,93.442,93.712,92.359,93.177,93.981,91.873,93.076,91.266,90.704,92.704
 "16620","Charleston, WV (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",90.743,89.791,91.771,94.425,93.411,91.761,92.411,92.179,92.717,90.358,90.520,89.794,87.402,91.322,89.833,89.058,88.717
 "16700","Charleston-North Charleston, SC (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",97.435,97.342,97.752,99.440,100.333,99.628,99.823,100.055,99.722,99.237,98.309,98.185,98.015,99.155,99.105,101.098,100.962
 "16740","Charlotte-Concord-Gastonia, NC-SC (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",95.304,94.062,95.664,95.714,96.149,95.926,96.342,96.211,96.935,96.203,95.527,94.484,94.168,96.601,96.787,97.323,97.348
 "16820","Charlottesville, VA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",99.727,98.680,100.634,100.632,98.861,100.780,99.859,100.056,100.302,99.867,98.192,95.767,98.311,100.482,97.550,98.961,99.146
 "16860","Chattanooga, TN-GA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",92.211,91.617,93.801,93.647,94.420,93.398,93.473,93.588,93.771,94.107,89.360,91.263,90.056,89.984,92.536,92.350,91.464
 "16940","Cheyenne, WY (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",95.580,99.458,96.769,100.207,99.229,97.999,99.847,96.364,97.898,98.692,93.661,96.437,91.770,92.846,94.191,91.622,96.491
 "16980","Chicago-Naperville-Elgin, IL-IN (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",105.439,106.524,106.054,106.855,105.118,104.241,103.230,102.573,103.794,105.187,104.225,102.649,104.473,105.464,105.706,102.486,103.595
 "17020","Chico, CA (Metropolitan Statistical Area)", ,MARPP,1,"...","RPPs: All items ","Index",99.415,102.254,100.730,102.077,103.484,100.476,99.809,98.395,97.080,100.874,104.211,102.217,101.788,102.479,104.223,104.745,101.197
